Post Office Name,Municipality,Address,Zip Code,Province
Maragusan,Maragusan,"Municipal Bldg.,Maragusan, Compostela Valley",8116,Davao Del Norte / Compostela Valley
Mawab,Mawab,"Municipal bldg.,Mawab, Compostela Valley",8108,Davao Del Norte / Compostela Valley
Monkayo,Monkayo,"Municipal Compound,Monkayo, Compostela Valley",8111,Davao Del Norte / Compostela Valley
Montevista,Montevista,"Municipal Bldg.,Montevista, Compostela Valley",8107,Davao Del Norte / Compostela Valley
Nabunturan,Nabunturan,"Municipal Hall Bldg.,Nabunturan, Compostela Valley",8106,Davao Del Norte / Compostela Valley
NCCC Mall,Tagum City,"NCCC Mall, National Highway, Tagum City",8100,Davao Del Norte / Compostela Valley
New Bataan,New Bataan,"Municipal Hall Bldg.,New Bataan, compostela Valley",8110,Davao Del Norte / Compostela Valley
New Corella,New Corella,"Municipal Bldg.,New Corella, Davao del Norte",8104,Davao Del Norte / Compostela Valley
Panabo City,Panabo City,"City Hall Drive, Panabo City, Davao del Norte",8105,Davao Del Norte / Compostela Valley
Pantukan,Pantukan,"Municipal Compound,Pantukan, Compostela Valley",8117,Davao Del Norte / Compostela Valley
Sto. Tomas,Sto. Tomas,"Municipal Hall Bldg.,Sto. Tomas, Davao del Norte",8112,Davao Del Norte / Compostela Valley
Tagum City,Tagum City,"Mankilam, Tagum City, Davao del Norte",8100,Davao Del Norte / Compostela Valley
Tagum City Hall,Tagum City,"City Hall Bldg., Rizal St., Tagum City",8100,Davao Del Norte / Compostela Valley
Imelda,Imelda,"Imelda, Zambo. Sibugay",7007,Zamboanga Sibugay
Diplahan,Diplahan,"Diplahan, Zambo. Sibugay",7039,Zamboanga Sibugay
Buug,Buug,"Buug, Zambo. Sibugay",7009,Zamboanga Sibugay
Ipil,Ipil,"Ipil, Zambo. Sibugay",7001,Zamboanga Sibugay
Kabasalan,Kabasalan,"Kabasalan, Zambo. Sibugay",7005,Zamboanga Sibugay
Malangas,Malangas,"Malangas, Zambo. Sibugay",7038,Zamboanga Sibugay
Olutanga,Olutanga,"Olutanga, Zambo. Sibugay",7041,Zamboanga Sibugay
Siay,Siay,,7006,Zamboanga Sibugay
Alicia,Alicia,"Alicia, Zambo. Sibugay",7040,Zamboanga Sibugay
